Shift;0x10;M
Control;0x11;M
Alt;0x12;M
A;0x41;K
B;0x42;K
C;0x43;K
D;0x44;K
E;0x45;K
F;0x46;K
G;0x47;K
H;0x48;K
I;0x49;K
M;0x4D;K
Copy;0x11+0x43;K
Paste;0x11+0x56;K
Ctrl+Z;0x11+0x5A;K
Ctrl+Y;0x11+0x59;K
